Name	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl1	MonLvl2	MonLvl3	MonLvl1Ex	MonLvl2Ex	MonLvl3Ex	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	EntryFile	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	Beta
Act 2 - Desert 1	41	1	1			27	80	80	80	80	80	80	-1	-1	0	1	0	0	0	0	1	1	1	0	3	16	9	0	7	8	55	55	55	55	0	0	0	0	33	34	35	36	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	14	39	64	14	75	110	880	880	880	7	9	7	9	7	9	1	0	3	sandleaper1	pantherwoman1	scarab1	vulture1	slinger1							sandleaper1	pantherwoman1	scarab1	vulture1	slinger1						sandleaper1	pantherwoman1	scarab1	vulture1	slinger1						scorpion				20								0	13	255	Rocky Waste	To The Rocky Waste	A2L2	30	24	32	37	36	0	0	0	15	30	15	40	40	0	0	0	0
Act 2 - Desert 2	42	1	1			27	80	80	80	80	80	80	-1	-1	0	1	0	0	0	0	1	1	1	0	3	16	9	1	7	8	56	56	56	56	0	0	0	0	33	34	35	36	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	15	40	65	15	76	110	880	880	880	7	9	7	9	7	9	1	0	3	sandleaper2	pantherwoman2	vulture2	slinger5								sandleaper2	pantherwoman2	vulture2	slinger5							sandleaper2	pantherwoman2	vulture2	slinger5							scorpion				20								0	13	11	Dry Hills	To The Dry Hills	A2L3	30	24	32	37	36	0	0	0	15	30	14	40	40	0	0	0	0
Act 2 - Desert 3	43	1	1			27	80	80	80	80	80	80	-1	-1	0	1	0	0	0	0	1	1	1	0	3	16	9	2	7	8	0	0	0	0	62	0	0	0	-1	-1	-1	-1	47	-1	-1	-1	0	0	0	0	1	0	1	0	2025	16	41	66	16	76	110	880	880	880	7	9	7	9	7	9	1	0	3	crownest3	sandmaggot1	swarm1	scarab2	vulture2							crownest3	sandmaggot1	swarm1	scarab2	vulture2						foulcrow3	sandmaggot1	swarm1	scarab2	vulture2						scorpion				20								0	13	13	Far Oasis	To The Far Oasis	A2L4	30	24	32	37	36	0	0	0	15	30	13	40	40	0	0	0	0
Act 2 - Desert 4	44	1	1			27	80	80	80	80	80	80	-1	-1	0	1	0	0	0	0	1	1	1	0	3	16	9	3	7	8	0	0	65	0	0	0	0	0	-1	-1	50	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	3800	17	42	67	17	77	110	880	880	880	7	9	7	9	7	9	1	0	3	zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6							zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6						zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6						scorpion				20								0	13	14	Lost City	To The Lost City	A2L5	30	24	32	37	36	0	0	0	15	30	12	40	40	0	0	0	0
Act 2 - Desert 5	45	1	1			27	32	32	32	32	32	32	-1	-1	0	1	0	0	0	0	1	1	1	0	3	16	-1	-1	-1	8	0	58	0	0	0	0	0	0	-1	37	-1	-1	-1	-1	-1	-1	0	0	0	0	1	0	1	0	2025	18	43	68	18	77	110	880	880	880	7	9	7	9	7	9	1	0	3	clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2						clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2					clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2					scorpion				20								0	13	255	Valley of Snakes	To The Valley of Snakes	A2L6	30	24	32	37	36	0	0	0	15	30	11	40	40	0	0	0	0
Act 2 - Valley of the Kings	46	1	1	13	13	28	80	80	80	80	80	80	2500	1000	0	1	0	0	1	0	1	1	1	0	3	16	9	4	7	8	0	66	67	68	69	70	71	72	-1	38	39	40	41	42	43	44	0	0	0	0	1	1	1	0	3800	16	41	66	16	79	110	880	880	880	7	9	7	9	7	9	1	0	3	brute4	sandmaggot3	pantherwoman4	scarab4	slinger4							brute4	sandmaggot3	pantherwoman4	scarab4	slinger4						brute4	sandmaggot3	pantherwoman4	scarab4	slinger4						scorpion				20								0	14	17	Canyon of the Magi	To The Canyon of the Magi	A2L7	30	24	32	37	36	0	0	0	15	30	10	40	40	0	0	0	0
Act 2 - Sewer 1 A	47	1	1			29	200	200	200	200	200	200	1500	1000	0	1	0	0	0	1	1	1	0	1	1	13	-1	-1	-1	-1	40	40	48	0	0	0	0	0	22	21	23	-1	-1	-1	-1	-1	8	255	255	255	0	0	1	0	100	13	38	63	13	74	110	680	680	680	6	8	6	8	6	8	1	0	3	skeleton4	sandraider1	mummy1	sk_archer4								skeleton4	sandraider1	mummy1	sk_archer4							skeleton4	sandraider1	mummy1	sk_archer4							rat	bat	scorpion		30	100	20						0	15	255	Sewers Level 1	To The Sewers Level 1	A2L8	32	26	5	0	0	0	0	0	10	10	10	0	0	0	0	0	0
Act 2 - Sewer 1 B	48	1	1			30	200	200	200	200	200	200	1500	1300	0	1	0	0	0	1	1	1	0	1	1	13	-1	-1	-1	-1	47	0	49	0	0	0	0	0	22	-1	23	-1	-1	-1	-1	-1	8	255	255	255	0	0	1	0	2025	13	38	63	13	74	110	680	680	680	6	8	6	8	6	8	1	0	3	skeleton4	sandraider1	mummy1	sk_archer4								skeleton4	sandraider1	mummy1	sk_archer4							skeleton4	sandraider1	mummy1	sk_archer4							rat	bat	scorpion		30	100	20						0	15	10	Sewers Level 2	To The Sewers Level 2	A2L9	32	26	5	0	0	0	0	0	12	12	12	0	0	0	0	0	0
Act 2 - Sewer 1 C	49	1	1			31	200	200	200	200	200	200	1500	1600	0	1	0	0	0	1	1	1	0	1	1	13	-1	-1	-1	-1	48	0	0	0	0	0	0	0	22	-1	-1	-1	-1	-1	-1	-1	8	255	255	255	0	0	1	0	2025	14	39	64	14	75	110	680	680	680	6	8	6	8	6	8	1	0	3	skeleton4	pantherwoman1	mummy1	skmage_fire3								skeleton4	pantherwoman1	mummy1	skmage_fire3							skeleton4	pantherwoman1	mummy1	skmage_fire3							rat	bat	scorpion		30	100	20						0	15	255	Sewers Level 3	To The Sewers Level 3	A2L10	32	26	5	0	0	0	0	0	15	15	15	0	0	0	0	0	0
Act 2 - Harem	50	1	1	11	11	32	16	19	16	19	16	19	2000	1000	0	1	0	0	0	1	1	1	0	1	2	14	-1	-1	-1	-1	40	0	51	51	0	0	0	0	25	-1	28	29	-1	-1	-1	-1	128	255	255	255	0	0	0	0	2025	0	25	50				0	0	0							0	0																																	rat	bat	scorpion		30	30	20						8	16	255	Harem Level 1	To The Harem Level 1	A2L11	56	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
Act 2 - Corrupt Harem 1	51	1	1	11	11	33	100	100	100	100	100	100	2000	1119	0	1	0	0	0	1	1	1	0	1	1	14	-1	-1	-1	-1	50	50	52	52	0	0	0	0	26	27	28	29	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	13	38	63	13	78	110	2200	2200	2200							1	0	3	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4							sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4						sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4						rat	bat	scorpion		30	30	20						8	17	255	Harem Level 2	To The Harem Level 2	A2L12	56	55	0	0	0	0	0	0	15	33	0	0	0	0	0	0	0
Act 2 - Basement 1	52	1	1	11	11	34	100	100	100	100	100	100	2000	1319	0	1	0	0	0	1	1	1	0	1	1	15	-1	-1	-1	-1	51	51	53	53	0	0	0	0	26	27	32	32	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	13	38	63	13	78	110	2200	2200	2200	5	7	5	7	5	7	1	1	3	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_fire4							sandraider3	baboon1	sk_archer5	blunderbore1	skmage_fire4						sandraider3	baboon1	sk_archer5	blunderbore1	skmage_fire4						rat	bat	scorpion		30	30	20						60	18	15	Palace Cellar Level 1 	To The Palace Cellar Level 1 	A2L13	57	58	0	0	0	0	0	0	20	10	0	0	0	0	0	0	0
Act 2 - Basement 2	53	1	1	11	11	35	100	100	100	100	100	100	2000	1519	0	1	0	0	0	1	1	1	0	1	1	15	-1	-1	-1	-1	52	52	54	54	0	0	0	0	30	31	32	32	-1	-1	-1	-1	0	255	255	255	1	0	1	0	2025	13	38	63	13	78	110	2200	2200	2200	5	7	5	7	5	7	1	1	3	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_pois4							sandraider3	baboon1	sk_archer5	blunderbore1	skmage_pois4						sandraider3	baboon1	sk_archer5	blunderbore1	skmage_pois4						rat	bat	scorpion		30	30	20						60	18	255	Palace Cellar Level 2	To The Palace Cellar Level 2	A2L14	57	58	0	0	0	0	0	0	20	10	0	0	0	0	0	0	0
Act 2 - Basement 3	54	1	1	11	11	36	100	100	100	100	100	100	2000	1719	0	1	0	0	0	1	1	1	0	1	1	15	-1	-1	-1	-1	53	53	0	0	0	0	0	0	30	31	-1	-1	-1	-1	-1	-1	0	255	255	255	1	1	1	0	2025	13	38	63	13	78	110	2200	2200	2200	5	7	5	7	5	7	1	1	3	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_ltng4							sandraider3	baboon1	sk_archer5	blunderbore1	skmage_ltng4						sandraider3	baboon1	sk_archer5	blunderbore1	skmage_ltng4						rat	bat	scorpion		30	30	20						60	18	255	Palace Cellar Level 3	To The Palace Cellar Level 3	A2L15	57	58	0	0	0	0	0	0	20	10	0	0	0	0	0	0	0
Act 2 - Tomb 1 A	55	1	1			37	200	200	200	200	200	200	3000	1000	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	41	0	0	0	59	0	0	0	45	-1	-1	-1	46	-1	-1	-1	0	255	255	255	0	0	1	0	1000	12	37	62	12	90	110	2200	2200	2200	6	8	6	8	6	8	1	0	3	skeleton5	scarab1	skmage_ltng3									skeleton5	scarab1	skmage_ltng3								skeleton5	scarab1	skmage_ltng3								rat	bat	scorpion		30	30	20						60	19	255	Stony Tomb Level 1	To The Stony Tomb Level 1	A2L16	19	29	24	0	0	0	0	0	10	20	35	45	0	0	0	0	0
Act 2 - Tomb 2 A	56	1	1			38	200	200	200	200	200	200	3000	1300	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	42	0	0	0	57	0	0	0	45	-1	-1	-1	46	-1	-1	-1	0	255	255	255	0	0	1	0	1000	12	37	62	12	99	110	2200	2200	2200	6	8	6	8	6	8	1	0	3	mummy2	unraveler1	unraveler1	batdemon1	slinger2							mummy2	unraveler1	unraveler1	batdemon1	slinger2						mummy2	unraveler1	unraveler1	batdemon1	slinger2						rat	bat	scorpion		30	30	20						60	19	255	Halls of the Dead Level 1	To The Halls of the Dead Level 1	A2L17	19	29	24	0	0	0	0	0	10	20	35	45	0	0	0	0	0
Act 2 - Tomb 2 B	57	1	1			39	200	200	200	200	200	200	3000	1600	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	56	0	0	0	60	0	0	0	45	-1	-1	-1	46	-1	-1	-1	0	255	255	255	0	0	1	0	1000	13	38	63	13	99	110	2200	2200	2200	6	8	6	8	6	8	1	0	3	mummy2	unraveler1	unraveler1	batdemon1	slinger2							mummy2	unraveler1	unraveler1	batdemon1	slinger2						mummy2	unraveler1	unraveler1	batdemon1	slinger2						rat	bat	scorpion		30	30	20						60	19	12	Halls of the Dead Level 2	To The Halls of the Dead Level 2	A2L18	19	29	24	0	0	0	0	0	10	20	35	45	0	0	0	0	0
Act 2 - Tomb 3 A	58	1	1			40	200	200	200	200	200	200	3000	1900	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	45	0	0	0	61	0	0	0	45	-1	-1	-1	46	-1	-1	-1	0	255	255	255	0	0	1	0	1000	14	39	64	14	82	110	2200	2200	2200	6	8	6	8	6	8	1	0	3	clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2						clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2					clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2					rat	bat	scorpion		30	30	20						60	19	255	Claw Viper Temple Level 1	To The Claw Viper Temple Level 1	A2L19	19	29	24	0	0	0	0	0	10	20	35	45	0	0	0	0	0
Act 2 - Tomb 1 Treasure	59	1	1			41	200	200	200	200	200	200	3000	2200	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	55	0	0	0	0	0	0	0	45	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	1000	12	37	62	12	90	110	2200	2200	2200	1	2	1	2	1	2	1	0	3	skeleton5	scarab1	skmage_pois3									skeleton5	scarab1	skmage_pois3								skeleton5	scarab1	skmage_pois3								rat	bat	scorpion		30	30	20						60	19	255	Stony Tomb Level 2	To The Stony Tomb Level 2	A2L20	19	29	24	0	0	0	0	0	10	30	45	55	0	0	0	0	0
Act 2 - Tomb 2 Treasure	60	1	1			42	200	200	200	200	200	200	3000	2500	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	57	0	0	0	0	0	0	0	45	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	1000	13	38	63	13	99	110	2200	2200	2200	1	2	1	2	1	2	1	0	3	mummy2	unraveler1	unraveler1	batdemon1	slinger2							mummy2	unraveler1	unraveler1	batdemon1	slinger2						mummy2	unraveler1	unraveler1	batdemon1	slinger2						rat	bat	scorpion		30	30	20						60	19	255	Halls of the Dead Level 3	To The Halls of the Dead Level 3	A2L21	19	29	24	0	0	0	0	0	10	30	45	55	0	0	0	0	0
Act 2 - Tomb 3 Treasure	61	1	1			43	200	200	200	200	200	200	3000	2800	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	58	0	0	0	0	0	0	161	45	-1	-1	-1	-1	-1	-1	85	0	255	255	255	0	0	1	0	1000	14	39	64	14	83	110	2200	2200	2200	1	2	1	2	1	2	1	0	3	clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2						clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2					clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2					rat	bat	scorpion		30	30	20						60	19	255	Claw Viper Temple Level 2	To The Claw Viper Temple Level 2	A2L22	19	29	24	0	0	0	0	0	10	30	45	55	0	0	0	0	0
Act 2 - Lair 1 A	62	1	1			44	200	200	200	200	200	200	3500	1000	0	1	0	0	0	1	1	1	0	1	1	18	-1	-1	-1	-1	43	63	0	0	0	0	0	0	48	49	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	17	42	67	17	84	110	990	990	990	5	6	5	6	5	6	1	0	3	sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3							sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3						sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3						rat	bat	scorpion		30	30	20						8	20	255	Maggot Lair Level 1	To The Maggot Lair Level 1	A2L23	35	29	0	0	0	0	0	0	50	35	0	0	0	0	0	0	0
Act 2 - Lair 1 B	63	1	1			45	200	200	200	200	200	200	3500	1300	0	1	0	0	0	1	1	1	0	1	1	18	-1	-1	-1	-1	62	64	0	0	0	0	0	0	48	49	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	17	42	67	17	84	110	990	990	990	5	6	5	6	5	6	1	0	3	sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3							sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3						sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3						rat	bat	scorpion		30	30	20						8	20	255	Maggot Lair Level 2	To The Maggot Lair Level 2	A2L24	35	29	0	0	0	0	0	0	65	35	0	0	0	0	0	0	0
Act 2 - Lair 1 Treasure	64	1	1			46	200	200	200	200	200	200	3500	1600	0	1	0	0	0	1	1	1	0	1	1	18	-1	-1	-1	-1	63	0	0	0	0	161	0	0	48	-1	-1	-1	-1	85	-1	-1	0	255	255	255	0	0	1	0	2025	17	42	67	17	85	110	990	990	990	4	5	4	5	4	5	1	0	3	sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3							sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3						sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3						rat	bat	scorpion		30	30	20						8	20	255	Maggot Lair Level 3	To The Maggot Lair Level 3	A2L25	35	29	0	0	0	0	0	0	80	55	0	0	0	0	0	0	0
Act 2 - Sewer 2 A	65	1	1			47	200	200	200	200	200	200	4000	1000	0	1	0	0	0	1	1	1	0	1	1	13	-1	-1	-1	-1	44	0	0	0	0	0	0	0	22	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	17	42	67	17	85	110	680	680	680	6	8	6	8	6	8	1	0	3	zombie5	sandraider3	mummy3	skmage_ltng4								zombie5	sandraider3	mummy3	skmage_ltng4							zombie5	sandraider3	mummy3	skmage_ltng4							rat	bat	scorpion		30	100	20						8	15	255	Ancient Tunnels	To The Ancient Tunnels	A2L26	29	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0
Act 2 - Tomb Tal 1	66	1	1	13	13	48	200	200	200	200	200	200	4500	1000	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	46	0	0	0	0	0	0	0	45	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	17	42	67	17	80	110	2200	2200	2200	7	9	7	9	7	9	1	0	3	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2					wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2				wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2				rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78	0	0	0	0	10	40	5	10	0	0	0	0	0
Act 2 - Tomb Tal 2	67	1	1	13	13	49	200	200	200	200	200	200	4500	1300	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	46	0	0	0	0	0	0	0	45	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	17	42	67	17	80	110	2200	2200	2200	7	9	7	9	7	9	1	0	3	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2					wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2				wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2				rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78	0	0	0	0	10	40	5	10	0	0	0	0	0
Act 2 - Tomb Tal 3	68	1	1	13	13	50	200	200	200	200	200	200	4500	1600	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	46	0	0	0	0	0	0	0	45	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	17	42	67	17	80	110	2200	2200	2200	7	9	7	9	7	9	1	0	3	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2					wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2				wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2				rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78	0	0	0	0	10	40	5	10	0	0	0	0	0
Act 2 - Tomb Tal 4	69	1	1	13	13	51	200	200	200	200	200	200	4500	1900	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	46	0	0	0	0	0	0	0	45	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	17	42	67	17	80	110	2200	2200	2200	7	9	7	9	7	9	1	0	3	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2					wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2				wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2				rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78	0	0	0	0	10	40	5	10	0	0	0	0	0
Act 2 - Tomb Tal 5	70	1	1	13	13	52	200	200	200	200	200	200	4500	2200	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	46	0	0	0	0	0	0	0	45	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	17	42	67	17	80	110	2200	2200	2200	7	9	7	9	7	9	1	0	3	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2					wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2				wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2				rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78	0	0	0	0	10	40	5	10	0	0	0	0	0
Act 2 - Tomb Tal 6	71	1	1	13	13	53	200	200	200	200	200	200	4500	2500	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	46	0	0	0	0	0	0	0	45	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	17	42	67	17	80	110	2200	2200	2200	7	9	7	9	7	9	1	0	3	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2					wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2				wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2				rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78	0	0	0	0	10	40	5	10	0	0	0	0	0
Act 2 - Tomb Tal 7	72	1	1	13	13	54	200	200	200	200	200	200	4500	2800	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	46	0	0	0	0	0	0	0	45	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	17	42	67	17	80	110	2200	2200	2200	7	9	7	9	7	9	1	0	3	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2					wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2				wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2				rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78	0	0	0	0	10	40	5	10	0	0	0	0	0
Act 2 - Duriel's Lair	73	1	1	13	13	55	32	47	32	47	32	47	4500	3100	0	2	0	0	1	1	1	1	0	1	2	17	-1	-1	-1	-1	40	0	0	0	0	0	0	0	84	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	1	1	0	2025	17	42	67	17	80	110	2200	2200	2200	0	2	0	2	0	2	1	0	3	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2					wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2				wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2				rat	bat	scorpion	larva	30	30	20	100					0	21	255	Duriel's Lair	To Duriel's Lair	A2L40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Act 2 - Arcane	74	1	1	11	11	56	200	200	200	200	200	200	5000	1000	0	1	0	0	1	1	1	1	0	1	1	19	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	128	255	255	255	1	1	1	11	3800	14	39	64	14	79	110	990	990	990	7	9	7	9	7	9	1	0	3	wraith3	goatman4	vampire1									wraith3	goatman4	vampire1								wraith3	goatman4	vampire1																				0	22	16	Arcane Sanctuary	To The Arcane Sanctuary	A2L41	53	75	0	0	0	0	0	0	75	75	0	0	0	0	0	0	0
Act 3 - Town	75	2	2			57	64	48	64	48	64	48	1000	1000	0	1	1	1	0	0	1	1	0	0	2	20	-1	-1	-1	-1	102	0	0	0	0	0	0	0	83	-1	-1	-1	-1	-1	-1	107	0	0	0	0	0	1	0	0	2025	0	25	50				0	0	0							0	0																																													0	24	18	Kurast Docktown	To The Kurast Docktown	A3L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Act 3 - Jungle 1	76	2	2			57	64	192	64	192	64	192	-1	-1	0	1	1	1	0	0	1	1	0	0	3	21	-1	-1	-1	-1	84	85	0	0	0	0	0	0	51	51	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	21	46	71	21	79	110	650	650	650	10	15	10	15	10	15	1	5	3	baboon3	mosquito1	thornhulk1	fetish2	fetishblow2	foulcrow4						baboon3	mosquito1	thornhulk1	fetish2	fetishblow2	foulcrow4					baboon3	mosquito1	thornhulk1	fetish2	fetishblow2	foulcrow4					snake	parrot			30	30							0	24	19	Spider Forest	To The Spider Forest	A3L2	31	43	40	52	69	0	0	0	50	15	45	35	30	0	0	0	0
Act 3 - Jungle 2	77	2	2			57	64	192	64	192	64	192	-1	-1	0	1	1	1	0	0	1	1	0	0	3	21	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	21	46	71	21	80	110	650	650	650	10	15	10	15	10	15	1	5	3	frogdemon1	frogdemon2	thornhulk2	zombie4	fetishshaman2	willowisp1						frogdemon1	frogdemon2	thornhulk2	zombie4	fetishshaman2	willowisp1					frogdemon1	frogdemon2	thornhulk2	zombie4	fetishshaman2	willowisp1					snake	parrot			30	30							0	24	20	Great Marsh	To The Great Marsh	A3L3	31	43	40	52	69	0	0	0	50	15	45	35	30	0	0	0	0
Act 3 - Jungle 3	78	2	2			57	64	192	64	192	64	192	-1	-1	0	1	1	1	0	0	1	1	0	0	3	21	-1	-1	-1	-1	86	88	0	0	0	0	0	0	53	54	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	22	47	72	22	80	110	650	650	650	10	15	10	15	10	15	1	5	3	fetish3	fetishshaman3	fetish4	fetishshaman4	vulture4	frogdemon3	fetishblow3					fetish3	fetishshaman3	fetish4	fetishshaman4	vulture4	frogdemon3	fetishblow3				fetish3	fetishshaman3	fetish4	fetishshaman4	vulture4	frogdemon3	fetishblow3				snake	parrot			30	30							0	24	21	Flayer Jungle	To The Flayer Jungle	A3L4	31	43	40	52	43	69	0	0	50	15	45	35	50	25	0	0	0
