index	set	item	*item	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	*eol
Ranger's Leather Hat	Ranger's Standard Issue	xap	War Hat	3	30	25	dgld	dgld						5	150	2	str		20	20	dex		20	20																													str		20	20					dex		20	20					hp		100	100	mana		100	100																	0
Ranger's Mark	Ranger's Standard Issue	xvg	Sharkskin Gloves	3	30	25	dgld	dgld						5	350	2	dex		20	20	res-cold		25	25																													ac/lvl	20							swing3		30	30					att/lvl	20																							0
Ranger's Stride	Ranger's Standard Issue	xvb	Sharkskin Boots	3	30	25	dgld	dgld						5	350	2	move3		40	40	res-fire		50	50	ease		-50	-50																									ac/lvl	16							res-ltng		40	40					str		20	20																					0
Ranger's Fortune	Ranger's Standard Issue	zvb	Sharkskin Belt	3	30	25	dgld	dgld						5	350	2	mag%		30	50	res-all		10	10																													ac/lvl	12							balance2		20	20					red-dmg%		15	15					oskill	Fade	1	1													0
Dancing Booties	Dancing Baby	lbt	Boots	1	8	1	bwht	bwht						5	250	2	crush		5	5	mana		200	200																													balance3		30	30																																					0
Diaper	Dancing Baby	lbl	Sash	1	8	1	bwht	bwht						5	250	2	nofreeze		1	1	dex		50	50																													dmg/lvl	8																																							0
Expansion 3																																																																																													0
Venus Gospel	Dragoon's Meteoric Armory	7p7	War Pike	3	85	60	lpur		inv7p7uw		item_largemetalweapon		item_largemetalweapon	5	20000	2	dmg%		500	500	dmg-max		107	107	dmg-min		73	73	str		80	80	swing3		100	100	sock		3	3	rep-dur	5			ethereal		0	1					dmg/lvl	30							swing3		100	100					manasteal		13	13	lifesteal		7	7	freeze		31	31	dmg-cold	100	257	409	dmg-fire		415	487	dmg-ltng		1	429	0
Triton	Dragoon's Meteoric Armory	amu	Amulet	3	85	60	dblu	dblu						5	25000	2	ac%		400	400	hp		120	120	str		60	60	indestruct		1	1																					res-fire		60	60					red-dmg		30	30													freeze		31	31													0
Dark Meteor Plate	Dragoon's Meteoric Armory	uul	Shadow Plate	3	85	60	dblu	dblu						5	15000	2	nofreeze		1	1	ac%		300	300	str		95	95	indestruct		1	1																					res-cold		100	100					att		200	200					red-dmg%		35	35																					0
Orion's Belt	Dragoon's Meteoric Armory	uhc	Colossus Girdle	3	85	60	dblu	dblu						5	7500	2	res-all		30	40	str		40	40	ac		200	200	att		350	350	indestruct		1	1	red-mag		30	30													att		450	450					hp		200	200																													0
Sky Forge	Dragoon's Meteoric Armory	uhg	Ogre Gauntlets	3	85	60	dblu	dblu						5	7500	2	str		60	60	swing3		40	40	ac		250	250	att		400	400	indestruct		1	1	freeze		31	31													res-ltng		75	75					balance3		30	30																													0
Heaven's Landing	Dragoon's Meteoric Armory	uhb	Myrmidon Greaves	3	85	60	dblu	dblu						5	10000	2	crush		25	25	ac		150	150	str		50	50	att		450	450	indestruct		1	1	oskill	Leap	1	3	oskill	Leap Attack	1	3	oskill	Teleport	1	3					move3		30	30					res-all		30	30																													0
Obstinacy	Rogue's Blackened Vestiments	7dg	Bone Knife	3	74	60	dblu	dblu						5	10000	2	dmg%		500	500	dmg-max		60	60	str		75	75	dex		35	35	dmg-pois	60	511	511	ethereal		0	1	rep-dur	5			stupidity		1	1					dmg/lvl	24							ac		150	150					manasteal		11	11	lifesteal		21	21																	0
Blackened Leather Quilt	Rogue's Blackened Vestiments	uui	Dusk Shroud	3	74	60	blac	blac						5	4500	2	ac		500	500	allskills		2	2	hp/lvl	8			str		50	50																					res-fire		40	40					balance2		20	20					dmg/lvl	36																							0
Blackened Leather Gloves	Rogue's Blackened Vestiments	ulg	Bramble Mitts	3	74	60	blac	blac						5	2500	2	swing3		40	40	ac		150	150	str		25	35																									res-ltng		25	25					hp		100	100					dmg/lvl	24																							0
Oiled Leather Boots	Rogue's Blackened Vestiments	ulb	Wyrmhide Boots	3	74	60	blac	blac						5	2500	2	crush		25	25	ac		125	125	str		20	20																									move3		30	30					res-cold		30	30					dmg/lvl	18																							0
Diamond Snakeskin Belt	Rogue's Blackened Vestiments	uvc	Vampirefang Belt	3	74	60	blac	blac						5	2000	2	ac		100	100	str		40	40	dex		15	15	regen-mana		100	100																					red-dmg%		15	15					dmg/lvl	16																															0
Biggin's Wedding-Band	Rogue's Blackened Vestiments	rin	Ring	3	74	60	blac	blac	invrinuw					5	2500	2	str		25	25	hp		50	50	red-mag		15	15																									res-all		15	15					att/lvl	24							dmg/lvl	12																							0
Biggs	Thief's Cunning Regalia	7ss	Falcata	3	67	60	lblu	lblu	inv9ssur					5	8000	2	dmg%		500	500	dmg-max		57	57	dmg-min		31	31	dex		50	50	dmg/lvl	47			mag%		150	150													att/lvl	36							swing3		40	40																													0
Wedge	Thief's Cunning Regalia	uml	Luna	3	67	60	dgld	dgld						5	5000	2	ac/lvl	16			dex		30	30	block2		35	35	mag%		150	150																					res-cold		60	60					hp		50	50																													0
Rabbit's Charm	Thief's Cunning Regalia	amu	Amulet	3	67	60	dgld	dgld	invamuuw5					5	180000	2	dex		30	30	mag%		150	150	move2		20	20																									att/lvl	24							res-all		50	50																													0
Fern Doublet	Thief's Cunning Regalia	utu	Wire Fleece	3	67	60	lgrn	lgrn						5	4000	2	ac%		350	400	dex		45	45	res-fire		50	50																									red-dmg%		20	20					hp		75	75					mag%		150	150																					0
Leaping Boots	Thief's Cunning Regalia	uvb	Scarabshell Boots	3	67	60	dgld	dgld						5	10000	2	dex		95	95	att		450	450																													move3		30	30					balance3		30	30					red-mag		20	20																					0
Custom Parakeet Gloves	Thief's Cunning Regalia	uvg	Vampirebone Gloves	3	67	60	lgrn	lgrn						5	5000	2	dex		40	40	swing3		40	40	mag%		150	150	oskill	Critical Strike	1	3																					dmg/lvl	30							gold%		200	200																													0
Templar's Short Claymore	Knight's Holy Crusade	9ls	Rune Sword	3	45	25								5	7500	2	dmg%		500	500	dmg-max		78	78	dmg-min		43	43	dmg/lvl	24			manasteal		7	7	lifesteal		8	8	indestruct		1	1	ethereal		0	1					res-ltng		75	75					swing3		40	40					dmg-mag		312	511																					0
Ageless Plate	Knight's Holy Crusade	xar	Ornate Armor	3	45	25			invaar					5	10000	2	ac%		500	500	str		90	90	block2		25	25	dmg-undead		450	450	dmg-demon		200	200																	ac/lvl	30							hp		100	100																													0
Leon's Stone	Knight's Holy Crusade	rin	Ring	3	45	25			invrinuw5					5	5000	2	allskills		1	1	str		50	50	ac		250	250																									res-ltng		75	75					res-cold		75	75					res-fire		75	75					res-pois		75	75													0
Pure Stainless Greaves	Knight's Holy Crusade	xhb	War Boots	3	45	25								5	2500	2	move3		30	30	balance2		20	20	str		40	40	ac		300	300																					red-dmg		15	15					red-mag		15	15					crush		25	25																					0
Dragonbreath	Knight's Holy Crusade	xit	Dragon Shield	3	45	25								5	3500	2	block2		35	35	block		25	25	str		45	45	ac		350	350	sock		3	3																	res-all		25	25					dmg/lvl	16							hp		75	75																					0
Fourth Mace	Angel's White Wind	9ma	Flanged Mace	3	41	25	lgld	lgld						5	4000	2	dmg%		200	200	dmg-max		44	44	dmg-min		11	11	enr		30	30	swing3		20	20																	att/lvl	24							dmg-ltng		1	74																													0
Divine Shield	Angel's White Wind	xml	Round Shield	3	41	25	lgld	lgld						5	2500	2	block2		25	25	block		35	35	enr		45	45	ac		350	350	sock		2	2																	red-dmg%		20	20					res-ltng		75	75																													0
Healer's Cap	Angel's White Wind	xap	War Hat	3	41	25	bwht	bwht	invxapuw2					5	1500	2	ac		150	150	enr		25	25	mana/lvl	16			cast3		30	30																					pierce-ltng		3	5	extra-ltng		3	5																																	0
Healer's Duckbills	Angel's White Wind	xvb	Sharkskin Boots	3	41	25	bwht		invxvbuw2					5	2000	2	ac		120	120	enr		25	25	mana%		40	40	move2		20	20																					hp		50	50					res-fire		50	50																													0
Healer's Mitts	Angel's White Wind	xvg	Sharkskin Gloves	3	41	25	bwht		invxvguw					5	1500	2	ac		100	100	enr		20	20	regen-mana		75	75	dmg-undead		500	500																					hp		50	50					res-cold		50	50					res-pois-len		75	75																					0
Healer's Torque	Angel's White Wind	amu	Amulet	3	41	25	bwht		invamuuw8					5	2000	2	allskills		1	1	enr		50	50	mana		75	75																									hp		75	75					res-pois		75	75																													0
Rose Wand	Mourner's Black Rest	9yw	Petrified Wand	3	41	25	cred	cred						5	8000	2	allskills		1	1	cast3		30	30	res-fire		50	75	vit		15	25	enr		15	25	thorns/lvl	6			dmg-fire		21	45									hp		40	40					extra-fire		250	250	pierce-fire		125	125																									0
Twilight Torque	Mourner's Black Rest	amu	Amulet	3	41	25	blac		invamuuw7					5	3000	2	fireskill		3	3	regen-mana		100	100	mana		100	100	enr		25	25																					hp		20	20					cast3		30	30																													0
Traveler's Hat	Mourner's Black Rest	xap	War Hat	3	41	25	dgry		invxapuw					5	2500	2	allskills		1	1	hp/lvl	8			mana/lvl	8			red-mag		2	2	enr		20	20																	res-cold		30	30					pierce-fire		50	50	extra-fire		100	100																									0
Morrigan's Robe	Mourner's Black Rest	xui	Ghost Armor	3	41	25	dgry		invxuiuw					5	5000	2	fireskill		3	3	block		10	10	balance2		20	20	cast3		20	20	enr		45	45																	oskill	Teleport	1	1																																					0
Mycophile Cuffs	Mourner's Black Rest	xvg	Sharkskin Gloves	3	41	25	dgry	dgry						5	2000	2	fireskill		2	2	cast3		25	25	enr		40	40																									res-pois-len		50	50					res-pois		50	50																													0
Dark Soleas	Mourner's Black Rest	xvb	Sharkskin Boots	3	41	25	dgry	dgry						5	2000	2	fireskill		1	1	enr		35	35	balance2		20	20	res-ltng		50	50																													res-all		25	25																													0
Fencing Degan	Caster's Crimson Silks	lsd	Long Sword	14	52	30	lgld	lgld						5	3000	2	dmg%		200	200	cast3		25	25	swing2		20	20	dmg-fire		34	67	indestruct		1	1	ethereal		0	1													dmg/lvl	20							hp		75	75	manasteal		5	5	oskill	Zeal	5	5																					0
Warlock's Chapeau	Caster's Crimson Silks	cap	Cap/hat	14	52	30	cred	cred						5	2500	2	ac		141	141	red-mag		15	15	hp		50	50	balance2		20	20	res-fire		20	20																	res-fire		50	50					crush		50	50																													0
Crimson Scale Plate	Caster's Crimson Silks	scl	Scale Mail	14	52	30	cred	cred						5	4500	2	ac		500	500	ac/lvl	45			hp		75	75	sock		2	2	indestruct		1	1	res-fire		30	30													res-pois		75	75					res-pois-len		75	75																													0
Baron's Cuffs	Caster's Crimson Silks	vgl	Heavy Gloves	14	52	30	cred	cred						5	1500	2	ac		121	121	hp		40	40	dmg-to-mana		10	10	swing3		40	40	block2		25	25																	res-cold		30	30																																					0
Republic Leggings	Caster's Crimson Silks	vbt	Heavy Boots	14	52	30	cred	cred						5	1000	2	ac		101	101	hp		60	60	cast3		30	30	balance2		20	20	res-fire		15	15																									res-cold		30	30					move2		20	20													pierce-fire		100	100	extra-fire		150	150	0
Enfeebling Torque	Caster's Crimson Silks	amu	Amulet	14	52	30	cred		invamuuw9	flprin	item_lightarmor		item_lightarmor	5	2000	2	allskills		1	1	red-dmg		25	25	hp		50	50	res-ltng		50	50	res-fire		20	20																	att/lvl	24																																							0
Great Cassandra	Fancy Corsair Ensemble	6lx	Pellet Bow	3	85	67	dgld	dgld	invrxb	flprxb				5	30000	2	dmg%		500	500	dmg-max		87	87	dmg-min		53	53	dex		70	70	swing3		100	100	sock		3	3	explosivearrow		3	3									dmg/lvl	28							mag%		150	150					gold%		400	400					att/lvl	24							dmg-fire		341	509					0
Chivalrous Chain	Fancy Corsair Ensemble	amu	Amulet	3	85	67	whit		invamuuw3		item_chainarmor		item_chainarmor	5	5000	2	allskills		2	2	hp		100	100	ac		200	200	dex		40	40	att		350	350																	manasteal		7	7													res-all		100	100																					0
Corsair's Frac	Fancy Corsair Ensemble	ula	Scarab Husk	3	85	67	whit		invulauw					5	10000	2	ac%		300	300	hp		100	100	balance2		20	20	res-ltng		50	50	mag%		150	150																	nofreeze		1	1					red-dmg%		35	35																													0
Deadeye Gloves	Fancy Corsair Ensemble	uvg	Vampirebone Gloves	3	85	67	blac		invuvguw					5	4500	2	allskills		1	1	ac		150	150	str		20	20	dex		20	20	swing3		40	40																	hp		50	50					res-cold		50	50					gold%		150	150					oskill	Find Item	1	1					deadly/lvl	3							0
Buccaneer's Belt	Fancy Corsair Ensemble	umc	Mithril Coil	3	85	67	blac		invumcuw					5	4000	2	ac		120	120	allskills		1	1	pierce		66	66	dex		20	20																					lifesteal		8	8					vit		40	40					gold%		100	100																					0
Trump Culottes	Fancy Corsair Ensemble	uvb	Scarabshell Boots	3	85	67	blac		invxtbuw					5	4500	2	ac		170	170	move3		30	30	balance2		20	20	dex		25	50	res-fire		30	45																	dmg/lvl	16							mag%		150	150					gold%		300	300					extra-fire		450	450					crush		25	25					0
Zilant Ring	Griswold's Hidden Past	rin	Ring	3	86	18	dgld		invrinuw4					5	50000	2	ac%		200	200	hp/lvl	16			str		50	50	abs-fire%		25	25	abs-fire/lvl	6																			dmg/lvl	30							mag%		150	150	gold%		300	300	cheap		50	50																					0
Quality Bronze Harness	Griswold's Hidden Past	xng	Linked Mail	3	86	18	dgld		invxnguw					5	6000	2	ac%		500	500	ac/lvl	30			str		30	30	res-fire		50	50	balance2		20	20																	hp		100	100					manasteal		7	7					red-dmg%		30	30																					0
Royal Footman's Gloves	Griswold's Hidden Past	xvg	Sharkskin Gloves	3	86	18	dgld	dgld						5	10000	2	ac		200	200	att		500	500	str		20	20	swing2		20	20																					lifesteal		7	7					red-mag		30	30																													0
Pile Chain	Griswold's Hidden Past	amu	Amulet	3	86	18	dgld		invamuuw4		item_chainarmor		item_chainarmor	5	3000	2	ac		500	500	att		500	500	hp		50	50																									att/lvl	30							red-dmg		15	15																													0
Tilt Belt	Griswold's Hidden Past	zvb	Sharkskin Belt	3	86	18	dgld	dgld						5	5000	2	ac		220	220	balance3		30	30	move3		40	40	str		40	40	att		300	300																	ac-miss		500	500					red-dmg		15	15																													0
Frog Trousers	Griswold's Hidden Past	xvb	Sharkskin Boots	3	86	18	dgld		invxvbuw					5	100000	2	oskill	Leap Attack	3	7	allskills		1	2	ac		10	10	str		15	15																					hp		35	35					red-mag		25	25																													0
Raven Scythe	Legionnaire's Darksteel Forge	7wc	Giant Thresher	3	77	60	blac	blac	invscy	flpscy				5	20000	2	oskill	Raven	6	6	ac/lvl	30			att		500	500	str		95	95	dmg%		500	500	dmg-max		107	107	dmg-min		66	66	ethereal		0	1	indestruct		1	1	att/lvl	27							dmg/lvl	31							swing3		60	60					dmg-cold	100	179	510					lifesteal		127	127	manasteal		127	127	0
Adaman Hauberk	Legionnaire's Darksteel Forge	uul	Shadow Plate	3	77	60	blac		invuuluw					5	12500	2	ac%		511	511	ac/lvl	107			str		95	95	res-fire		95	95	ethereal		0	1	indestruct		1	1	sock		4	4	vit/lvl		24	24					att/lvl	21							dmg/lvl	24							red-dmg%		50	50					red-dmg		107	107													0
Dusk Gloves	Legionnaire's Darksteel Forge	umg	Vambraces	3	77	60	blac		invumguw					5	7000	2	ac%		200	200	vit/lvl	8			str		95	95	dex		95	95																					att/lvl	27							dmg/lvl	30							gold%		300	300	mag%	150	150		red-mag		107	107													0
Chaos Torque	Legionnaire's Darksteel Forge	amu	Amulet	3	77	60	blac		invamuuw6					5	6000	2	ac%		300	300	vit/lvl	12			str		95	95	allskills		2	2																					att/lvl	36							dmg/lvl	24							mag%		150	150	gold%	150	150		res-all-max		20	20													0
Courage Ring	Legionnaire's Darksteel Forge	rin	Ring	3	77	60	blac		invrinuw6					5	5000	2	ac%		200	200	vit/lvl	6			str		95	95	res-fire		40	40																					att/lvl	24							dmg/lvl	24																															0
Bale Sollerets	Legionnaire's Darksteel Forge	utb	Mirrored Boots	3	77	60	blac		invutbuw					5	7500	2	res-all		50	50	vit/lvl	8			str		95	95	balance3		50	50	move3		30	30																	att/lvl	28							dmg/lvl	20							crush		25	25					pierce-fire		200	200					deadly/lvl	3							0
Selene's Bow	Druidic Arsenal	6l7	Crusader Bow	3	73	60	dgld	dgld						5	12500	2	dmg%		420	500	dmg-max		77	77	dmg-min		33	33	swing3		40	40	dex		60	60	str		35	35	ignore-ac		1	1									dmg/lvl	73							att/lvl	33							manasteal		8	8					stupidity		1	1					dmg-fire		206	398					0
Archer's Tunic	Druidic Arsenal	uea	Wyrmhide	3	73	60	dgrn	dgrn						5	7500	2	ac%		420	420	hp		100	100	dex		50	50	pierce		66	66	balance2		20	20																	att/lvl	29							lifesteal		7	7																													0
Beetle Ring	Druidic Arsenal	rin	Ring	3	73	60	dgrn	dgrn	invrinuw3					5	5000	2	att		500	500	ac%		300	300																													dex		50	50					manasteal		8	8																													0
Dragonscale Boots	Druidic Arsenal	umb	Boneweave Boots	3	73	60	dgrn	dgrn						5	4500	2	ac%		300	300	res-fire		90	90	res-fire-max		15	15	hp		15	15	move3		30	30																	balance2		20	20					dmg/lvl	12																															0
Hunter's Light Bracers	Druidic Arsenal	utg	Crusader Gauntlets	3	73	60	dgrn	dgrn						5	4500	2	ac%		200	200	res-cold		50	50	swing3		40	40	dex		40	40																					att/lvl	28							crush		25	25					red-mag		30	30																					0
Shenlong's Baghnakhs	Old Saffron Clothing	6ss	Walking Stick	3	60	60	lblu	lblu						5	13000	2	dmg%		500	500	ignore-ac		1	1									oskill	Zeal	13	20	ethereal		0	1	indestruct		1	1	dmg-mag		311	511	swing3		100	100	att/lvl	37			swing3		100	100	dmg/lvl	24							crush		25	25					dmg-fire		333	511					dmg-cold	100	349	511	dmg-ltng		1	511	0
Emperess Hairpin	Old Saffron Clothing	ci3	Diadem	7	60	60	dpur		invci3uw					5	20000	2	ac%		500	500	dex		95	95	hp		50	50																																																	res-all		100	100													0
Usukane Haramaki	Old Saffron Clothing	ula	Scarab Husk	3	60	60	oran		invulauw2		item_gloves		item_gloves	5	8000	2	ac%		500	500	dex		95	95	str		95	95	hp		200	200	res-fire		95	95																	att/lvl	22							ac-miss		350	500					ac/lvl	24																							0
Temple Gloves	Old Saffron Clothing	xlg	Demonhide Gloves	3	60	45	oran	oran						5	3500	2	ac		250	250	dex		35	35	str		45	45	hp		80	80	swing3		30	30																	att/lvl	12							crush		33	33					dmg-undead		350	350	dmg-demon		300	300																	0
Monk's Kyahan	Old Saffron Clothing	xmb	Mesh Boots	3	60	45	oran	oran						5	3500	2	ac		300	300	dex		25	25	str		60	60	hp		100	100																					balance3		60	60					move3		40	40					dmg/lvl	24																							0
Brown Belt	Old Saffron Clothing	zlb	Demonhide Sash	3	60	45	dgld	dgld						5	1000	2	swing3		50	50	move3		50	50	str		50	50																									dmg-ac		-200	-200					manasteal		8	8					lifesteal		7	7																					0
Felibre's Dague	Fable	9bl	Stilleto	7	50	30	blac	blac						5	9000	2	dmg%		380	500	dex		25	25	crush		25	25	swing3		100	100	dmg-demon		250	250																	att/lvl	25							dmg-ac		-150	-150					manasteal		8	8																					0
Ivory Surcoat	Fable	xla	Demonhide Armor	7	50	30	bwht	bwht	invxlauw					5	7500	2	ac%		500	500	ac		500	500	cast3		50	50	hp		40	40	res-fire		40	40	red-dmg%		20	20													mana		100	100																																					0
Minstrel's Cuffs	Fable	xtg	Battle Gauntlets	7	50	30	blac	blac						5	3000	2	ac		120	120	dex		20	20	str		35	35	hp		20	20	res-cold		30	30																	att/lvl	15																																							0
Entertainer's Heels	Fable	xtb	Battle Boots	7	50	30	blac	blac						5	3500	2	ac		100	100	allskills		1	1	mana		50	50	regen-mana		50	50																					move2		20	20	balance2		20	20																																	0
Odin Eight	Legend of Alexander	lsd	Long Sword	3	86	85	cblu	cblu						5	1	2	dmg%		500	500	dmg-max		107	107	dmg-min		106	106	str/lvl		95	95	swing3		107	107	sock		3	3	ethereal		0	1	indestruct		1	1	dmg/lvl	32			ignore-ac		1	1																																					0
Judge's Helmet	Legend of Alexander	skp	Skull Cap	1	86	85	blac	blac						5	1	2	ac%		511	511	ac/lvl	107			str/lvl		95	95	res-fire		255	255	ethereal		0	1	indestruct		1	1	vit/lvl		95	95	nofreeze		1	1																																													0
Judge's Gauntlets	Legend of Alexander	hgl	Gaunlets(H)	1	86	85	blac	blac						5	1	2	ac%		511	511	ac/lvl	107			str/lvl		95	95	res-cold		255	255	ethereal		0	1	indestruct		1	1	vit/lvl		95	95																																																	0
Judge's Girdle	Legend of Alexander	hbl	Girdle(H)	1	86	85	blac	blac						5	1	2	ac%		511	511	ac/lvl	107			str/lvl		95	95	res-ltng		255	255	ethereal		0	1	indestruct		1	1	vit/lvl		95	95																																																	0
Judge's Greaves	Legend of Alexander	hbt	Plate Boots	1	86	85	blac	blac						5	1	2	ac%		511	511	ac/lvl	107			str/lvl		95	95	res-pois		255	255	ethereal		0	1	indestruct		1	1	vit/lvl		95	95																																																	0
Judge's Silks	Legend of Alexander	aar	Ancient Armor	1	86	85	blac	blac						5	1	2	ac%		511	511	ac/lvl	107			str/lvl		95	95	res-all-max		20	20	ethereal		0	1	indestruct		1	1	vit/lvl		95	95	sock		4	4					red-dmg%		50	50																																					0
Masamune's Inpara	Yamaha's Dynasty	7sr	Hyperion Spear	3	85	60	dgld		invwsc	flpwsc	item_sword		item_sword	5	20000	2	dmg%		500	500	dmg-max		105	105	dmg-min		89	89	str		90	90	swing3		50	50	sock		3	3	ethereal		0	1	indestruct		1	1					dmg/lvl	32							att/lvl	36							freeze		31	31	dmg-cold	100	256	380	ignore-ac		1	1													0
Enkidu's Cap	Yamaha's Dynasty	ukp	Hydraskull	3	85	60	dgld		invukpuw					5	10000	2	ac%		350	350	str		70	70	dex		40	40	res-fire		100	100	allskills		2	2	str		20	20	dex		20	20	vit		20	20	enr		20	20	att/lvl	24							balance2		20	20																													0
Saotome Koshi-Ate	Yamaha's Dynasty	ulc	Spiderweb Sash	3	85	60	dgld	dgld						5	8000	2	ac%		200	200	str		50	50	dex		30	30	dmg-demon		500	500	dmg-undead		100	100	allskills		1	1													res-ltng-max		10	10	abs-ltng		50	50																																	0
Shinimusha Hara-Ate	Yamaha's Dynasty	uhn	Boneweave	3	85	60	dgld	dgld	invuhnuw					5	12000	2	ac%		500	500	ac		300	300	str		80	80	res-ltng		100	100	allskills		2	2	crush		25	25	openwounds		25	25									balance2		20	20					hp		100	100					red-dmg%		35	35	red-dmg		25	25																	0
Ochiudo's Kote	Yamaha's Dynasty	utg	Crusader Gauntlets	1	85	60	dgld	dgld						5	35000	2	ac%		250	250	str		45	45	swing2		20	20	hp		50	50	res-all		100	100	att		500	500													att/lvl	39							dmg/lvl	16																															0
Myochin Sune-Ate	Yamaha's Dynasty	utb	Mirrored Boots	3	85	60	dgld	dgld						5	9000	2	ac%		300	300	str		60	60	dex		40	40	hp		65	65	res-cold		100	100	move3		30	30	oskill	Charge	1	7									balance2		40	40					nofreeze		1	1					red-mag		25	25																					0
Kikoku	Nameless Hero	7tk	Flying Knife	3	85	60	cblu	cblu						5	14000	2	dmg%		350	500	dmg-max		77	107	dmg-min		57	106	dex		95	95	swing3		40	40	ignore-ac		1	1	dmg-pois	100	311	311	ethereal		0	1	rep-quant	30			att/lvl	31							dmg/lvl	30																															0
Shinobi Hachigane	Nameless Hero	ci1	Coronet	3	85	60	blac	blac	invci1uw		item_lightarmor		item_lightarmor	5	6500	2	ac		350	500	dmg-max		12	12	res-all		50	50	dex		35	35	sock		3	3	allskills		1	1													res-fire-max		10	10					red-dmg%		30	30	red-dmg		15	15																									0
Nokizaru Gi	Nameless Hero	upl	Balrog Skin	3	85	60	blac	blac	invupluw		item_lightarmor		item_lightarmor	5	9000	2	ac%		450	500	res-fire		70	70	dex		50	50	str		50	50	vit		50	50	openwounds		15	15													ac/lvl		107	107					hp		100	100																													0
Noritsune Kote	Nameless Hero	utg	Crusader Gauntlets	3	85	60	blac	blac						5	6000	2	ac%		200	200	allskills		1	1	res-cold		60	60	dex		90	90	att		350	500	oskill	Vengeance	3	9													red-mag		15	15					manasteal		8	8																													0
Ninja Kyahan	Nameless Hero	uhb	Myrmidon Greaves	3	85	60	blac	blac						5	7000	2	ac%		500	500	move3		100	100	oskill	Leap Attack	1	1	str		60	60	dex		30	30	oskill	Shock Field	1	13													lifesteal		10	10					hp		50	50																													0
Black Belt	Nameless Hero	ulc	Spiderweb Sash	3	85	60	blac	blac						5	10000	2	swing3		100	100	balance3		100	100	ac		1	10	oskill	Zeal	1	7																					ac/lvl		107	107					ac		500	500					ac%		500	500					ac-miss		500	500					crush		20	20					0
Expansion 4																																																																																													0
Fenris' Jaw	Forester's Equipment	ba1	Jawbone Cap	3	3	3	blac	blac						5	25000	2	swing2		20	20	ac		65	85	dex		10	10	str		10	10																													res-cold		30	30																													0
Black Cape	Forester's Equipment	qui	Quilted Armor	3	3	3	blac	blac						5	50000	2	enr		15	15	manasteal		6	7	res-fire		70	70	ac		40	50																																					allskills		2	2																					0
Northern Hand Axe	Forester's Equipment	hax	Hand Axe	3	3	3	blac	blac						5	100000	2	dmg/lvl	4			swing2		20	20	str		10	10	dex		10	10	sock		2	2																																																									0
Blackrock Boots	Forester's Equipment	lbt	Boots	3	3	3	blac	blac						5	200000	2	dex		10	10	str		10	10	dmg-max		13	13	dmg-min		6	6	ac		15	25																									dmg-max		20	20	dmg-min		19	19																									0
Weathered Hands	Forester's Equipment	lgl	Leather Gloves	3	3	3	blac	blac						5	35000	2	ac		25	25	att		100	100	dex		20	20	str		5	5																					res-pois		40	40					red-mag		5	5																													0
Diablo's Scale	Forester's Equipment	spk	Spiked Shield	3	3	3	dred	dred						5	50000	2	ac		98	107	res-cold		60	60	res-ltng		25	25	str		25	25	block		20	20	sock		2	2																																					hp		100	100													0
Vagrant Wand	Anarchist's Attire	wnd	Wand	3	3	3	cred	cred						5	50000	2	dmg-max		9	9	dmg-min		4	4	mana/lvl	16			ac		20	20																					enr		15	15													cast3		30	30																					0
Bloody Robe	Anarchist's Attire	qui	Quilted Armor	3	3	3	cred	cred	invxuiuw					5	40000	2	ac		20	20	hp		100	100	str		25	25	res-fire		25	50																													dex		25	25																													0
Head of the Benedict	Anarchist's Attire	ne1	Preserved Head	3	3	3	cred	cred						5	20000	2	block		20	20	enr		15	15	res-cold		70	70	sock		1	1	ac		50	50																	red-dmg%		3	3																																					0
Thinking Cap	Anarchist's Attire	skp	Skull Cap	3	3	3	lgld	lgld						5	150000	2	allskills		1	1	balance2		20	20	ac		1	10																																	red-mag		4	4					res-all		15	15																					0
Bird's Eye	Angel's Garments	ob1	Eagle Orb	3	3	3	blac	blac						5	50000	2	sor		1	1	block2		20	20	block		30	30	hp		25	25	cast3		25	25																	dex		20	20																																					0
Camel Jacket	Angel's Garments	hla	Hard Leather Armor	3	3	3	dgld	dgld						5	30000	2	move3		30	30	regen-stam		30	30	vit		10	10																									res-cold		30	30																																					0
Maple Shield	Angel's Garments	sml	Small Shield	3	3	3	dgld	dgld						5	20000	2	res-ltng		25	25	ac		55	55	dex		10	10																									red-mag		3	3																																					0
Friar's Tuck	Squire's Adornments	ssd	Two-Handed Sword	3	3	3	lgld	lgld						5	25000	2	dmg-max		17	17	dmg-min		15	15	swing2		20	20	sock		2	2																													dmg-undead		150	150																													0
